patient,histology,config,source,target
3,AIS,all_cells_primary,AT2,Alveolar fibroblasts
3,AIS,all_cells_primary,Alveolar fibroblasts,AT2
3,AIS,cap500_seed1,AT2,Alveolar fibroblasts
3,AIS,cap500_seed1,Alveolar fibroblasts,AT2
3,AIS,cap500_seed2,AT2,Alveolar fibroblasts
3,AIS,cap500_seed2,Alveolar fibroblasts,AT2
3,AIS,floor30,AT2,Alveolar fibroblasts
3,AIS,floor30,Alveolar fibroblasts,AT2
3,AIS,floor30,Alveolar fibroblasts,Monocyte-derived Mph
3,AIS,floor30,Monocyte-derived Mph,AT2
3,AIS,floor30,Monocyte-derived Mph,Alveolar fibroblasts
3,AIS,floor100,AT2,Alveolar fibroblasts
3,AIS,floor100,Alveolar fibroblasts,AT2
3,AIS,expression005,AT2,Alveolar fibroblasts
3,AIS,expression005,Alveolar fibroblasts,AT2
3,AIS,expression020,AT2,Alveolar fibroblasts
3,AIS,expression020,Alveolar fibroblasts,AT2
3,AIS,uncertainty030,AT2,Alveolar fibroblasts
3,AIS,uncertainty030,Alveolar fibroblasts,AT2
3,AIS,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
3,AIS,uncertainty030,Monocyte-derived Mph,AT2
3,AIS,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
3,AIS,largest_library,AT2,Alveolar fibroblasts
3,AIS,largest_library,Alveolar fibroblasts,AT2
3,LUAD,all_cells_primary,AT2,Alveolar fibroblasts
3,LUAD,all_cells_primary,Alveolar fibroblasts,AT2
3,LUAD,cap500_seed1,AT2,Alveolar fibroblasts
3,LUAD,cap500_seed1,Alveolar fibroblasts,AT2
3,LUAD,cap500_seed2,AT2,Alveolar fibroblasts
3,LUAD,cap500_seed2,Alveolar fibroblasts,AT2
3,LUAD,floor30,AT2,Alveolar fibroblasts
3,LUAD,floor30,Alveolar fibroblasts,AT2
3,LUAD,expression005,AT2,Alveolar fibroblasts
3,LUAD,expression005,Alveolar fibroblasts,AT2
3,LUAD,expression020,AT2,Alveolar fibroblasts
3,LUAD,expression020,Alveolar fibroblasts,AT2
3,LUAD,uncertainty030,AT2,Alveolar fibroblasts
3,LUAD,uncertainty030,Alveolar fibroblasts,AT2
3,LUAD,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
3,LUAD,uncertainty030,Monocyte-derived Mph,AT2
3,LUAD,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
3,LUAD,largest_library,AT2,Alveolar fibroblasts
3,LUAD,largest_library,Alveolar fibroblasts,AT2
3,normal,all_cells_primary,AT2,Alveolar fibroblasts
3,normal,all_cells_primary,Alveolar fibroblasts,AT2
3,normal,cap500_seed1,AT2,Alveolar fibroblasts
3,normal,cap500_seed1,Alveolar fibroblasts,AT2
3,normal,cap500_seed2,AT2,Alveolar fibroblasts
3,normal,cap500_seed2,Alveolar fibroblasts,AT2
3,normal,floor30,AT2,Alveolar fibroblasts
