series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_E2F_TARGETS,3964,0.955,True,0.2204244774909564,0.3622392169831263,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_G2M_CHECKPOINT,3964,0.945,True,0.269475540035514,0.4687114389988225,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_GLYCOLYSIS,3964,0.955,True,0.3373226184064813,0.7664305599828121,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_HYPOXIA,3964,0.975,True,0.4764583769129462,1.1679532359338751,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_IL6_JAK_STAT3_SIGNALING,3964,0.9885057471264368,True,0.4509164930276246,2.199501721312136,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_INFLAMMATORY_RESPONSE,3964,0.99,True,0.318717111101987,0.6286580076270293,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_INTERFERON_GAMMA_RESPONSE,3964,0.94,True,0.4816813943185764,1.2387963206563188,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3964,0.93,True,0.4432048411685922,0.7798088570633935,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_P53_PATHWAY,3964,0.95,True,0.4541416718059156,1.0157904044752006,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_TGF_BETA_SIGNALING,3964,0.9814814814814816,True,0.6284370670233559,1.3807807892040356,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3964,0.98,True,0.4912590989849574,1.1262626676323804,False
GSE267226,GSM8262701,GSM8262701,COVID1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,3964,0.9761904761904762,True,0.3371200633950001,0.5850862744649522,False
GSE267226,GSM8262701,GSM8262701,COVID1,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,3964,0.98,True,0.6045613176058869,2.6808267073281646,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1B,3964,1.0,True,0.0319162664446383,0.0445692285264136,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1A,3964,1.0,True,0.0254325636910472,0.0352960648046747,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1R1,3964,1.0,True,1.5689471722234185,4.612013223247609,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1RAP,3964,1.0,True,0.1824962405382892,0.267692296772666,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1RN,3964,1.0,True,0.1133418527892394,0.188850678774087,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_IL1R2,3964,1.0,True,0.0349298596999049,0.0528229112491811,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_SIGIRR,3964,1.0,True,0.4799205298640649,0.7975252480162286,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_TGFB1,3964,1.0,True,0.313920082255311,0.4876207720525028,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_CCL2,3964,1.0,True,0.3037728591874601,0.5464165035991932,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_CXCL12,3964,1.0,True,1.7697216598765029,6.348495313673874,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_AREG,3964,1.0,True,0.0580706310544509,0.0823286529997039,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_HBEGF,3964,1.0,True,0.1053324403830767,0.157805740267398,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_FGF7,3964,1.0,True,0.997605092814542,2.41169169466445,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_FGF10,3964,1.0,True,0.2252915536508361,0.3412197349604627,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_COL1A1,3964,1.0,True,3.200038233793246,37.59478247772423,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_C1QA,3964,1.0,True,1.0734057349979085,3.1446096977872897,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_KRT8,3964,1.0,True,0.5095483781308683,1.2219966758479768,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_KRT5,3964,1.0,True,0.2385577554430049,0.6038128670826233,False
GSE267226,GSM8262701,GSM8262701,COVID1,GENE_KRT17,3964,1.0,True,0.1909434046106764,0.4313101487603083,False
